,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
NumberOfCreditInquiries,-0.0021648146238801005,-0.00501624952781955,-0.0019275389551134325,-0.002904596823596682,-0.0062394925541588726,0.0009776876228496441,-0.003748687245182971,0.009888532143263122,0.0017077835586157928,0.000445564496929644,1.0,0.005453433164280038,-0.005607438230649214,-0.006414532450919281,-0.004147834765929523,-0.0034070261321948007,-0.004387394877686723,-0.0042381170751912165,0.006784046373873459,0.00014106649534279783,-0.00515462800896584,0.005487786456949898,0.0027943134697646943,0.004829152985310859,-0.0004093316747638619,-0.005468427638634924,-0.003395084472959183,-0.0029134999240370387,-0.0058849649345531,0.0031026505612501364
DebtToIncomeRatio,0.004438383038398006,0.001507117733831956,0.0019125761128307522,0.003138880718223454,-0.00957709686383536,0.0019128385848445853,-0.007980771611272251,0.0012054334989077067,0.0022306227948983006,0.004362521671662948,0.005453433164280038,1.0,0.01042633176873573,0.00956044479188001,-0.006869427543169356,-0.002205460800838519,-0.004452550070816505,0.0025605249197238104,-0.007661613360679066,-0.002644220083121159,0.0016765219972449217,-0.014411929567151814,0.009164621485390363,-0.00880329592149781,-0.0038876168938583662,-0.006106101808115223,-0.007974149765301995,-0.013075680195797225,3.4262317384544114e-05,0.3265004184863021
BankruptcyHistory,0.010816745054711509,0.00381563697088235,0.008638147668527062,0.009599857078624154,0.004843643990625929,-0.0004342802869760874,-0.001154121558627002,-0.007493488263858251,0.010892259143077794,-0.0016117845053835425,-0.005607438230649214,0.01042633176873573,1.0,-0.004376310214165707,0.007334774268175306,0.009696271761019932,0.006861625810169471,-0.00502285490519187,-0.0011342759541163598,-0.0012293143416435375,0.0038545092466437717,-0.0023350056618880325,0.004436300486701176,-0.0008333966047556348,-0.004622705421063606,0.002591284156645136,0.006279415293837844,-0.0007015235469932026,-0.07075097353487793,0.3775784040195326
PreviousLoanDefaults,-0.003683906875947822,0.004301826734206366,-0.007689772412603959,-0.002459312501268119,-0.0023521903292126065,0.015646326549146303,0.006116010759534962,0.00271338278730579,-0.004449808900287448,0.012599710892799886,-0.006414532450919281,0.00956044479188001,-0.004376310214165707,1.0,0.0020791625243804443,0.005502528212988139,0.002615669313266355,0.0060076934769386124,0.006939040350986818,-0.0037322519891368664,0.004638901875722844,-0.011716466359883769,0.0036277761301518907,0.008604947452279507,0.013689030517174114,0.008299258911852438,-0.011763078848082188,-0.00045786693788349615,-0.06534292185796059,0.2586587341151746
PaymentHistory,-0.002487468543464003,0.0037145711415310745,0.004294508698782175,-0.0033464533915884206,-0.0028110576067719288,0.0019829242310532846,0.001281405949665917,-0.003347394176586332,0.004516681718264235,0.002387505621838243,-0.004147834765929523,-0.006869427543169356,0.007334774268175306,0.0020791625243804443,1.0,0.0010900979247536443,-0.004735777595593844,-0.01738388310995592,-0.007134529971578842,-0.011323919701026839,0.003334792536033723,0.0105296953761695,-0.007881735654467483,-0.0028529737727146006,-0.002998984969666078,0.0020299286471767344,-0.0008834859386691929,0.0034199608757484986,0.030804360146268087,-0.016991587875643192
LengthOfCreditHistory,-0.00013941046798564622,-0.005364587811513073,0.005216607750939993,-0.001131882224060504,0.000580337358174352,0.013693008597133044,0.002704731616080067,-0.00411514142638246,0.007446072378671114,0.0036533902389124253,-0.0034070261321948007,-0.002205460800838519,0.009696271761019932,0.005502528212988139,0.0010900979247536443,1.0,-0.011102686818251212,-0.002911352605324973,0.0045882059016913385,0.00031762884198872595,-0.00552551135007168,0.006534095705792905,0.015103839940707468,0.004313390083778073,0.00439945958203693,0.004991345466527344,-0.010042290625914543,-0.009380562272791174,0.10594943078868023,-0.17779554624886473
SavingsAccountBalance,0.004236482432046245,-0.0013972769913992399,-0.006316283825556313,0.005875693222588037,0.0014886500937939398,0.0015788410196330668,-0.0020799145433450564,-0.004223024435330079,0.004025720511241414,0.009166763127010374,-0.004387394877686723,-0.004452550070816505,0.006861625810169471,0.002615669313266355,-0.004735777595593844,-0.011102686818251212,1.0,-0.0003920391316002531,0.006704845666701295,-0.002127650855118073,-0.0015715939754381409,-0.008145152621597831,-0.004249797382978553,0.0034582010601882395,0.006012397911181325,0.0027311813500011596,0.00021162048787891482,-0.00348398393888998,0.0009611969385511927,0.002190210200593453
CheckingAccountBalance,0.010144974024099331,0.008613390870747573,0.005514701577497594,0.00929164282964137,0.005408260213502499,-0.0028324660279996318,0.0024854222611448637,0.0019094634797555288,-0.0021146424196191687,-0.005282246853050827,-0.0042381170751912165,0.0025605249197238104,-0.00502285490519187,0.0060076934769386124,-0.01738388310995592,-0.002911352605324973,-0.0003920391316002531,1.0,0.003321641822202598,0.0014731158798592194,0.009232615193332294,-0.00569588248721037,-0.002439681433536843,0.0015959187774198962,-0.0035544652795352193,-0.0019425939959487025,0.0022805784557808,-0.006630159108301382,0.0006598805443777165,-0.004043878754490391
TotalAssets,0.012209685392806367,-0.0051577523832956945,0.0013418596483299398,0.013074027515238092,-0.00423758968728459,-0.00829654882888148,-0.006283707726647286,0.0030700865263305396,-0.005046680317167465,-0.003895656346334625,0.006784046373873459,-0.007661613360679066,-0.0011342759541163598,0.006939040350986818,-0.007134529971578842,0.0045882059016913385,0.006704845666701295,0.003321641822202598,1.0,-0.0002762979617998439,-0.004127772686894244,-0.0004789167361524488,0.007057355159747881,0.9789966954457313,-0.0073682610017848475,-0.005806890729332028,-0.000875146459169331,-0.007333284949331035,0.18401061872767488,-0.2971168544187875
TotalLiabilities,-0.001197270048635484,-0.0023531309481670307,-0.006721520569167004,-0.00044889392261399677,0.000501962390343352,0.003667927123178909,0.009941759062376829,-0.004211329513183424,-0.007778474810730612,-0.008406441417900189,0.00014106649534279783,-0.002644220083121159,-0.0012293143416435375,-0.0037322519891368664,-0.011323919701026839,0.00031762884198872595,-0.002127650855118073,0.0014731158798592194,-0.0002762979617998439,1.0,-0.0017614511961357247,-0.006187052105617617,-0.003399448579884123,-0.12996198232091996,0.007139519206668504,0.010176191608077544,-0.0016678493738782106,-0.002427386874351483,-0.029434142483023156,0.05561728965245401
MonthlyIncome,0.1446338542353076,0.9899107753669869,0.10479616447649483,0.1459495036610223,-0.005407243517132589,0.0030667318350155763,-0.000413762442539002,-0.000355806323560851,-0.009380569602983599,-0.008050102402030008,-0.00515462800896584,0.0016765219972449217,0.0038545092466437717,0.004638901875722844,0.003334792536033723,-0.00552551135007168,-0.0015715939754381409,0.009232615193332294,-0.004127772686894244,-0.0017614511961357247,1.0,-0.010640979368821964,-0.0014219320741060768,-0.003284454126974992,-0.07552164640279443,-0.06456482845454209,-0.005905081269710097,-0.5383141783605386,0.6041006582209991,-0.4870394850746599
UtilityBillsPaymentHistory,-0.0056010050486451,-0.01235086409499473,-0.006837959102610757,-0.0066033722302569695,-0.012107071140241633,-0.0101052834529024,0.008735452588113094,0.0016381348765455563,0.013039901823617186,-0.010497073124401407,0.005487786456949898,-0.014411929567151814,-0.0023350056618880325,-0.011716466359883769,0.0105296953761695,0.006534095705792905,-0.008145152621597831,-0.00569588248721037,-0.0004789167361524488,-0.006187052105617617,-0.010640979368821964,1.0,-0.007986093838704238,-0.0009684828739547458,-0.005517180974379052,-0.004051054517347917,-0.007480956592949828,0.006941862662799348,0.0033027936380023225,-0.0051962485726842105
JobTenure,-0.0007729672075857354,-0.0006095493058122414,0.008068854578581693,-0.0007618944693697519,0.005364495470400485,0.003635260455464525,0.010909877102212332,0.005862950006420617,-0.00697875609593762,0.00729751142931602,0.0027943134697646943,0.009164621485390363,0.004436300486701176,0.0036277761301518907,-0.007881735654467483,0.015103839940707468,-0.004249797382978553,-0.002439681433536843,0.007057355159747881,-0.003399448579884123,-0.0014219320741060768,-0.007986093838704238,1.0,0.00583209481580493,-0.001661371979196579,-0.004422172922237374,0.004066953055172589,0.005205621715927785,0.004996948443239349,-0.004393252743593894
NetWorth,0.014060929763094481,-0.004358026087193874,0.001950996321403235,0.015048947467139048,-0.0036786603769580484,-0.008779260967627758,-0.008423483555505915,0.0044300297674631384,-0.003506366869664516,-0.002013215995717836,0.004829152985310859,-0.00880329592149781,-0.0008333966047556348,0.008604947452279507,-0.0028529737727146006,0.004313390083778073,0.0034582010601882395,0.0015959187774198962,0.9789966954457313,-0.12996198232091996,-0.003284454126974992,-0.0009684828739547458,0.00583209481580493,1.0,-0.007873728360709733,-0.006422180038586354,0.0001682520136078395,-0.005965580006283077,0.1878921177601798,-0.30433343630087173
BaseInterestRate,-0.23899457024106327,-0.07454870324777874,-0.7226185591437013,-0.2428711315667396,0.38566313861014,0.5792149916757651,0.006976784567450624,1.040941738324425e-05,0.003667969317243246,0.007457251774225164,-0.0004093316747638619,-0.0038876168938583662,-0.004622705421063606,0.013689030517174114,-0.002998984969666078,0.00439945958203693,0.006012397911181325,-0.0035544652795352193,-0.0073682610017848475,0.007139519206668504,-0.07552164640279443,-0.005517180974379052,-0.001661371979196579,-0.007873728360709733,1.0,0.8345565713776919,0.11803042756848488,0.13185316344078882,-0.24726301163243253,0.2562325669640606
InterestRate,-0.20270157154726848,-0.06383155792880606,-0.5988444601001294,-0.20625165841905943,0.3228237474336499,0.4879937759785571,0.006749425385769789,0.0038951383716871475,0.001030214365016421,0.008090056391897362,-0.005468427638634924,-0.006106101808115223,0.002591284156645136,0.008299258911852438,0.0020299286471767344,0.004991345466527344,0.0027311813500011596,-0.0019425939959487025,-0.005806890729332028,0.010176191608077544,-0.06456482845454209,-0.004051054517347917,-0.004422172922237374,-0.006422180038586354,0.8345565713776919,1.0,0.12749709965877196,0.13176532575837926,-0.30164577243232255,0.26820280443991146
MonthlyLoanPayment,-0.021379789309283255,-0.004303669871327297,-0.06393170792451,-0.02169083692074654,0.7808278281607225,-0.3854947632919072,-0.0013900851945685777,0.018020533461376866,0.0043661172469982475,-0.005058344056083325,-0.003395084472959183,-0.007974149765301995,0.006279415293837844,-0.011763078848082188,-0.0008834859386691929,-0.010042290625914543,0.00021162048787891482,0.0022805784557808,-0.000875146459169331,-0.0016678493738782106,-0.005905081269710097,-0.007480956592949828,0.004066953055172589,0.0001682520136078395,0.11803042756848488,0.12749709965877196,1.0,0.5678417112764896,-0.1842716927009633,0.11550148264225497
TotalDebtToIncomeRatio,-0.11179960415675803,-0.5320327960461293,-0.11536283739121037,-0.11282465716490317,0.4571751916602651,-0.2139843703335834,-0.000358029879034331,0.21945323181547421,0.010490273157735834,0.003470514587338513,-0.0029134999240370387,-0.013075680195797225,-0.0007015235469932026,-0.00045786693788349615,0.0034199608757484986,-0.009380562272791174,-0.00348398393888998,-0.006630159108301382,-0.007333284949331035,-0.002427386874351483,-0.5383141783605386,0.006941862662799348,0.005205621715927785,-0.005965580006283077,0.13185316344078882,0.13176532575837926,0.5678417112764896,1.0,-0.4103990660718081,0.34264348554322693
LoanApproved,0.14102854508347634,0.5979001985185184,0.1420003687024605,0.14075515432839614,-0.23949552245259143,-0.09455826074209174,0.0017173109242089694,-0.07041474221981364,-0.010465978638292009,-0.004768526667523048,-0.0058849649345531,3.4262317384544114e-05,-0.07075097353487793,-0.06534292185796059,0.030804360146268087,0.10594943078868023,0.0009611969385511927,0.0006598805443777165,0.18401061872767488,-0.029434142483023156,0.6041006582209991,0.0033027936380023225,0.004996948443239349,0.1878921177601798,-0.24726301163243253,-0.30164577243232255,-0.1842716927009633,-0.4103990660718081,1.0,-0.7661374114914472
RiskScore,-0.16430398958788406,-0.4832886369721459,-0.24019812662012927,-0.16649648754226765,0.13798065780203436,0.054550282043170556,0.0016864768286203506,0.03693796593010322,0.10875836392268476,0.007762031159543937,0.0031026505612501364,0.3265004184863021,0.3775784040195326,0.2586587341151746,-0.016991587875643192,-0.17779554624886473,0.002190210200593453,-0.004043878754490391,-0.2971168544187875,0.05561728965245401,-0.4870394850746599,-0.0051962485726842105,-0.004393252743593894,-0.30433343630087173,0.2562325669640606,0.26820280443991146,0.11550148264225497,0.34264348554322693,-0.7661374114914472,1.0
