ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore,outlier_col,outlier_threshold
2022-02-08,47,422480,518,Employed,Master,27,50214,84,Divorced,1,Rent,397,0.1451010115487079,1,0,0.248193424786231,0,Home,0,29,10,1756,2081,55293,9842,17952.583333333332,0.6321319321259368,2,45451,0.316214,0.2578833509937277,1296.4174556026117,0.0943272299122751,1,39.2,AnnualIncome,220564.8542234464
2023-03-27,66,252597,622,Unemployed,Bachelor,44,26125,60,Married,4,Rent,723,0.1606047659387538,7,2,0.1609314237597361,0,Debt Consolidation,0,24,12,13203,1062,101937,22184,21049.75,0.8885482417147178,7,79753,0.220125,0.203750475228041,697.6158079307942,0.0674884883635574,1,36.0,AnnualIncome,220564.8542234464
2023-03-30,18,296766,557,Employed,Master,0,15798,84,Single,0,Mortgage,205,0.4507264042166596,1,2,0.0879270094216827,1,Other,0,24,5,365,338,79716,13620,24730.5,0.6925440449578488,5,66096,0.262298,0.2549038530281917,404.83982378342574,0.0246594215152716,1,48.8,AnnualIncome,220564.8542234464
2023-05-15,39,233264,618,Employed,Master,17,32720,36,Widowed,2,Own,317,0.2994107218215333,2,0,0.0543095962507102,0,Debt Consolidation,0,14,14,3718,3899,45496,63285,19438.666666666668,0.9045995609804102,6,9746,0.20872,0.2213366301235732,1251.8552830356832,0.0807079677808328,1,36.0,AnnualIncome,220564.8542234464
2023-12-27,22,220956,571,Unemployed,Master,0,29985,60,Married,4,Rent,346,0.2764007416381729,2,0,0.1259090137486623,0,Auto,1,30,29,1920,1141,58495,14182,18413.0,0.8928608715398605,9,44313,0.249485,0.2457924274443605,872.7182751501851,0.0661879256585122,1,45.6,AnnualIncome,220564.8542234464
2024-08-20,39,225011,629,Employed,Associate,17,36326,60,Single,2,Mortgage,365,0.2652569489363229,9,0,0.5031208715811755,0,Debt Consolidation,1,18,7,3104,1656,191577,24942,18750.916666666668,0.8593178607101073,6,166635,0.226826,0.190662447421748,943.6410539443398,0.069790777550129,1,44.8,AnnualIncome,220564.8542234464
2025-01-14,40,233904,517,Employed,Associate,15,14528,24,Married,0,Mortgage,238,0.3663214696995451,4,0,0.2542813717208013,0,Home,0,21,25,3461,480,43421,19567,19492.0,0.8424937363223214,4,23854,0.2310279999999999,0.2361942549081487,765.354506860587,0.0514751953037444,1,40.0,AnnualIncome,220564.8542234464
2025-06-28,33,373724,639,Employed,Doctorate,11,13107,96,Married,0,Own,347,0.5937512533341406,1,1,0.3918525414073289,0,Home,0,22,15,2766,1513,38026,14933,17111.833333333332,0.5567604983465148,7,23093,0.228607,0.2216950056966093,292.6229058785523,0.0373789817501662,1,40.0,AnnualIncome,220564.8542234464
2025-07-23,47,273916,628,Employed,Bachelor,22,12221,72,Married,2,Rent,487,0.0980328258166569,2,0,0.1163630169200772,0,Home,0,26,5,10623,727,100949,41574,22826.33333333333,0.8693340549926815,4,59375,0.213221,0.1881486420998805,284.3930499292942,0.0337939974267714,1,35.2,AnnualIncome,220564.8542234464
2025-10-10,38,270154,613,Employed,Bachelor,17,12392,48,Married,2,Rent,439,0.2267096144924034,4,1,0.5025855265262645,0,Other,0,17,9,2997,3223,24672,22494,22512.83333333333,0.6674471911038731,5,2178,0.200892,0.1636106462189927,353.48851058777063,0.0352016336128772,1,43.2,AnnualIncome,220564.8542234464
2026-04-12,53,253674,446,Unemployed,Associate,30,54959,96,Single,2,Mortgage,253,0.5508344491653069,6,1,0.1176246194494977,0,Auto,0,25,21,2605,2381,98447,78352,21139.5,0.941627168169943,6,20095,0.366959,0.3809049545944193,1835.9298076762184,0.0988164245926449,1,41.6,AnnualIncome,220564.8542234464
2026-11-04,39,225273,512,Employed,High School,21,21564,60,Single,0,Other,993,0.2047188891224882,4,0,0.3806382857757387,0,Debt Consolidation,0,24,15,1972,578,458293,23987,18772.75,0.8100692723262456,7,434306,0.270564,0.2757852476174953,665.9404329344912,0.0883696013069204,1,36.8,AnnualIncome,220564.8542234464
2026-11-22,31,232070,631,Employed,Bachelor,9,33994,48,Married,3,Own,224,0.4058993938541098,3,1,0.2628116201744219,1,Other,0,24,11,4523,2010,70906,13512,19339.166666666668,0.7294704653489447,5,57394,0.213494,0.213844102192748,1059.689123418789,0.0663776855303376,1,46.400000000000006,AnnualIncome,220564.8542234464
2027-04-21,57,232510,646,Employed,Bachelor,34,29632,48,Married,1,Own,229,0.3955522667534698,3,2,0.3453070777242364,0,Auto,0,18,17,4434,747,295281,18975,19375.83333333333,0.8956836090645184,6,276306,0.201632,0.2180514415928115,930.4562605392804,0.0598403299921352,1,34.4,AnnualIncome,220564.8542234464
2027-05-03,64,300000,568,Employed,Bachelor,40,27514,120,Divorced,0,Mortgage,480,0.2146049589291468,4,3,0.5782323598144008,0,Home,0,19,5,4262,1696,25651,9922,25000.0,0.8909744166248809,4,15729,0.298514,0.3164101186594277,758.8818350880439,0.0495552734035217,1,46.400000000000006,AnnualIncome,220564.8542234464
2027-08-03,32,223687,523,Employed,Doctorate,12,13932,48,Divorced,2,Mortgage,232,0.4424934310384567,2,1,0.1919100329400961,0,Home,0,24,28,3478,741,101411,29755,18640.58333333333,0.6574453644872865,7,71656,0.247432,0.2589022549145848,468.88948676851294,0.0376001906289688,1,37.6,AnnualIncome,220564.8542234464
2027-09-24,70,280976,571,Employed,Doctorate,47,18911,48,Single,3,Mortgage,616,0.4101178120952573,4,0,0.5491323815309109,0,Education,0,19,7,249,694,57848,54549,23414.666666666668,0.8572245990453722,6,3299,0.228411,0.213394503802612,589.0504917626745,0.0514656266056606,1,46.400000000000006,AnnualIncome,220564.8542234464
2028-02-09,50,300000,658,Self-Employed,Master,25,31869,120,Married,0,Own,382,0.1352593623562208,3,3,0.1806873412135768,0,Debt Consolidation,0,25,1,828,2127,303110,29903,25000.0,0.4761832864374263,4,273207,0.257869,0.3094428,862.4347364206952,0.0497773894568278,1,33.6,AnnualIncome,220564.8542234464
2028-02-22,38,258223,501,Employed,Associate,14,47531,72,Married,1,Own,181,0.2978363973547691,2,0,0.5052192149010616,0,Home,0,22,15,828,633,236752,8825,21518.58333333333,0.825429991448785,6,227927,0.312031,0.3161194363298903,1479.6840977905724,0.0771744158091528,1,41.6,AnnualIncome,220564.8542234464
2028-06-05,47,238412,649,Employed,Doctorate,29,7115,12,Married,1,Own,298,0.1810598970016462,3,1,0.0236316938463386,0,Home,1,28,14,7569,3600,99731,75480,19867.666666666668,0.8317990977478594,5,24251,0.147615,0.1592224252458355,645.2882762280786,0.0474785636408274,1,40.0,AnnualIncome,220564.8542234464
2028-09-25,62,259278,576,Employed,Bachelor,37,21480,36,Divorced,0,Mortgage,475,0.2890328296772042,3,2,0.1120019563237064,0,Auto,0,20,12,14355,267,136162,10914,21606.5,0.7855378338668739,7,125248,0.21848,0.2393558787504962,841.9953925487231,0.0609536663758,1,35.2,AnnualIncome,220564.8542234464
2029-01-04,22,278056,469,Employed,Bachelor,1,13304,48,Married,1,Own,290,0.0988388504001307,5,0,0.3115873131421864,0,Education,0,24,27,2410,2601,12323,42060,23171.33333333333,0.766299215626089,3,2658,0.273804,0.2321621486303175,427.9903277335535,0.0309861464338213,1,40.8,AnnualIncome,220564.8542234464
2029-05-28,49,277236,612,Employed,Associate,27,43713,48,Single,5,Rent,192,0.3260468421014579,5,1,0.3072352534186273,0,Debt Consolidation,0,21,26,2246,3373,47306,16771,23103.0,0.7755044696267509,5,30535,0.232713,0.2344493482630576,1411.7435233235135,0.0694171113415363,1,39.2,AnnualIncome,220564.8542234464
2029-12-06,36,250153,605,Self-Employed,Doctorate,15,21725,24,Married,2,Own,442,0.0294703973650459,1,1,0.0312815562413265,0,Home,0,25,8,3909,661,88435,4569,20846.08333333333,0.8452195327004339,1,83866,0.1942249999999999,0.2031738747170654,1109.082676399823,0.0744064317309721,1,36.8,AnnualIncome,220564.8542234464
2029-12-23,51,333715,506,Employed,Bachelor,32,32528,48,Married,1,Mortgage,355,0.6059787988524109,6,0,0.0543743179891846,0,Other,0,15,19,394,542,154152,7417,15052.916666666666,0.6600372534673157,4,146735,0.274528,0.3294336,1227.537320368522,0.1051316070773785,1,36.8,AnnualIncome,220564.8542234464
2030-01-21,44,300000,615,Employed,Master,20,28862,48,Married,1,Rent,413,0.1040038462981185,7,2,0.256190142894901,0,Education,0,35,11,5597,1104,75817,25755,25000.0,0.7438022333457369,3,50062,0.216362,0.2187820323856071,907.4210539583772,0.052816842158335,1,35.2,AnnualIncome,220564.8542234464
2030-01-23,50,274408,574,Employed,Associate,27,17742,36,Married,3,Mortgage,237,0.1816515615223518,7,3,0.3085009955109547,0,Debt Consolidation,0,25,19,4780,435,84145,5283,22867.33333333333,0.8094727414995795,5,78862,0.215742,0.1907393574708687,651.0145240920998,0.0388333222395309,1,39.2,AnnualIncome,220564.8542234464
2030-04-04,34,235538,577,Employed,Doctorate,9,58552,60,Single,0,Other,318,0.0469278380244831,3,1,0.5335788463407527,0,Auto,0,18,29,4037,1219,135709,31662,19628.166666666668,0.9513743580438612,3,104047,0.275052,0.2474155605098631,1709.718426775814,0.1033065625135212,1,40.8,AnnualIncome,220564.8542234464
2031-03-15,37,267290,598,Self-Employed,Doctorate,16,22998,60,Married,4,Other,436,0.2684818017395922,3,0,0.2118380957181729,0,Debt Consolidation,0,28,23,4199,5245,55418,9039,22274.166666666668,0.7898185986654469,6,46379,0.2289979999999999,0.2747976,708.8609533431234,0.0513985986760353,1,42.400000000000006,AnnualIncome,220564.8542234464
2031-04-14,70,284444,567,Employed,Bachelor,50,20701,36,Divorced,2,Mortgage,177,0.1920084708179664,5,0,0.5711519158485764,0,Home,0,14,11,641,1408,69497,39927,23703.666666666668,0.8322562741579634,2,29570,0.2222009999999999,0.1971422683823145,766.3124014241521,0.0397960541164159,1,44.0,AnnualIncome,220564.8542234464
2031-11-25,40,224843,531,Employed,High School,18,15385,48,Married,1,Mortgage,188,0.2200168912634772,5,2,0.1537565228390263,0,Home,0,26,28,3587,2146,194943,15303,9697.666666666666,0.8003398883971907,8,179640,0.244885,0.2599630253758923,518.7087626836635,0.0728741033255762,1,35.2,AnnualIncome,220564.8542234464
2032-02-25,30,300000,471,Self-Employed,Associate,7,35784,108,Married,2,Mortgage,381,0.175458853678201,4,0,0.2170200310605868,0,Other,0,22,1,4644,1280,42274,10571,25000.0,0.8064363262448742,10,31703,0.345284,0.3798113865542013,1173.1302787582856,0.0621652111503314,1,44.8,AnnualIncome,220564.8542234464
2032-02-27,43,300000,595,Employed,Bachelor,20,38312,48,Single,5,Rent,193,0.2642240349438213,2,1,0.0605303636799678,0,Education,1,25,25,1159,1199,93390,13158,25000.0,0.7309468610644022,3,80232,0.235812,0.2829743999999999,1341.7840278230149,0.0613913611129205,1,41.6,AnnualIncome,220564.8542234464
2032-04-12,46,223250,660,Employed,Doctorate,22,67594,108,Married,2,Other,688,0.1560827997472223,3,1,0.2458394459018353,0,Auto,1,24,2,3725,469,256099,109183,18604.166666666668,0.9940335501654152,7,146916,0.282594,0.2907893551336786,1771.405104617039,0.1321964669894937,0,49.0,AnnualIncome,220564.8542234464
2032-07-29,42,228457,630,Employed,Bachelor,20,13401,48,Married,5,Own,339,0.2204227012087448,4,2,0.4507761699308952,0,Education,0,13,28,561,828,66828,62923,19038.08333333333,0.7286988599175123,6,3905,0.193401,0.2236046740060149,424.83982880488986,0.0401216769267681,1,40.8,AnnualIncome,220564.8542234464
2032-08-14,49,248097,561,Employed,High School,22,35379,48,Single,3,Mortgage,165,0.3668636618072167,1,0,0.3684155601448751,0,Home,0,15,13,11263,1030,45444,34612,20674.75,0.902311032916687,4,10832,0.249879,0.2380050920840424,1149.522018572199,0.063581035735484,1,41.6,AnnualIncome,220564.8542234464
2033-06-02,50,223185,610,Employed,Bachelor,28,24625,48,Married,0,Mortgage,461,0.2343465846907708,0,0,0.3338762992643346,0,Home,0,28,7,2495,1035,144373,46593,18598.75,0.7985860198380074,7,97780,0.214625,0.1841474003300271,728.7070121892892,0.0639670414511345,1,38.400000000000006,AnnualIncome,220564.8542234464
2033-09-18,41,285617,575,Employed,Bachelor,18,33721,48,Married,3,Mortgage,551,0.0655221573542539,3,2,0.1848529806379814,0,Education,0,26,13,3911,1087,26937,37063,23801.416666666668,0.8615438440446459,5,4691,0.241221,0.2388506017217729,1097.2248679048182,0.0692490237445874,1,37.6,AnnualIncome,220564.8542234464
2034-08-03,71,235940,664,Employed,High School,48,10024,120,Married,5,Other,648,0.2910510516187163,4,2,0.2521298134876551,0,Debt Consolidation,0,25,4,3144,3526,56886,70618,19661.666666666668,0.9473030384631612,4,7457,0.233024,0.2710432569317162,243.07270552977457,0.0453203037482296,1,37.6,AnnualIncome,220564.8542234464
2034-09-28,37,300000,502,Employed,Bachelor,15,25188,36,Married,4,Own,416,0.2466752731697564,6,2,0.6357267522043919,0,Debt Consolidation,0,26,13,2366,1865,186561,27334,25000.0,0.5388081275472272,9,159227,0.259188,0.3022057938904764,1072.3156913822568,0.0595326276552902,1,41.6,AnnualIncome,220564.8542234464
2034-10-08,58,300000,483,Self-Employed,High School,37,33651,36,Married,0,Mortgage,450,0.3247214238853266,4,1,0.1315894582050462,0,Other,0,15,19,806,282,63816,15878,25000.0,0.9318655991539926,2,47938,0.277151,0.2694239738776566,1372.7696054388796,0.0729107842175551,1,40.8,AnnualIncome,220564.8542234464
2035-06-13,53,259353,599,Employed,Associate,29,28822,24,Married,3,Mortgage,295,0.65776726268787,2,0,0.4396071414239362,0,Debt Consolidation,0,25,19,4204,604,54427,6865,21612.75,0.7495147003863033,4,47562,0.2043219999999999,0.1888751266674687,1451.3024679186774,0.0807996422444472,1,44.8,AnnualIncome,220564.8542234464
2035-10-23,52,300000,609,Employed,Bachelor,28,8499,36,Single,1,Own,308,0.2789955203429821,4,0,0.0367731233931476,0,Other,0,22,14,2742,176,141485,11596,25000.0,0.6742739966160887,6,129889,0.188999,0.1818508051381506,308.04887917507625,0.024641955167003,1,32.800000000000004,AnnualIncome,220564.8542234464
2036-08-26,29,285567,566,Employed,Bachelor,8,12697,120,Married,1,Mortgage,317,0.0477522834074091,1,1,0.329852932963476,0,Debt Consolidation,0,21,5,1596,961,8370,29284,23797.25,0.9846791927429588,5,9951,0.284697,0.301162799473412,335.8067143328009,0.0274320232099423,1,42.400000000000006,AnnualIncome,220564.8542234464
2036-08-30,18,259829,544,Unemployed,Bachelor,0,12138,60,Single,3,Rent,523,0.0793862230632289,3,0,0.1304322486269867,0,Home,0,27,9,4472,968,10974,32208,21652.416666666668,0.6182995896553374,6,6713,0.245138,0.2940298828718537,388.26613913137663,0.0420861169060286,1,40.8,AnnualIncome,220564.8542234464
2037-01-23,45,253664,589,Self-Employed,High School,25,22491,96,Married,2,Rent,479,0.2841101802609505,1,1,0.1687665704847284,0,Home,1,16,1,851,1102,31561,7520,21138.666666666668,0.890495544585532,3,24041,0.262991,0.2360659779665717,523.0447382366208,0.0474034031586644,1,48.8,AnnualIncome,220564.8542234464
2037-04-18,38,243801,605,Employed,Associate,15,24791,60,Married,1,Mortgage,285,0.2441274516647712,1,1,0.057516730064364,0,Auto,0,24,22,10395,313,13242,7572,20316.75,0.5701210359487441,3,5670,0.227291,0.2444819922143337,719.6506417656157,0.049449377571,1,36.0,AnnualIncome,220564.8542234464
2038-02-02,19,243967,552,Employed,Master,0,31067,12,Married,0,Own,204,0.2181388975210856,2,0,0.0732285150028554,0,Home,0,26,10,6329,2112,12769,33073,20330.58333333333,0.9263141495981484,7,3268,0.220067,0.2230245476366634,2912.2207164500965,0.1532774866986156,1,38.400000000000006,AnnualIncome,220564.8542234464
2038-02-24,63,295818,642,Employed,Bachelor,41,52486,60,Married,5,Own,239,0.1709079922469762,3,0,0.5816181457039165,1,Debt Consolidation,0,27,14,1429,702,37918,43239,24651.5,0.8674614246876049,4,1682,0.236486,0.2795105686751738,1632.645297255605,0.0759241951709066,1,51.2,AnnualIncome,220564.8542234464
2038-03-15,46,291889,571,Employed,Bachelor,22,13304,60,Married,3,Other,311,0.0161201588852319,5,3,0.2740810027250822,0,Debt Consolidation,0,20,1,4462,519,7689,26097,15801.333333333334,0.9237070488643102,9,10606,0.232804,0.2225704760659465,369.3890079138209,0.0430589617699236,1,42.400000000000006,AnnualIncome,220564.8542234464
2038-05-06,40,226844,543,Employed,Master,20,52715,48,Single,0,Mortgage,641,0.0894450149304605,2,2,0.3961480159311899,0,Home,1,30,26,3269,1506,330673,4003,18903.666666666668,0.8010896728443003,9,326670,0.276215,0.2289805878125752,1686.6504388738863,0.1231322197919567,1,40.8,AnnualIncome,220564.8542234464
2038-09-21,54,221656,608,Employed,High School,36,17792,72,Married,4,Rent,784,0.2636883063070706,4,1,0.5905860129295286,0,Home,0,25,12,12940,226,13166,2581,18471.33333333333,0.8692769956415204,3,10585,0.228792,0.1854763343741934,411.32369073003184,0.0647123664090319,1,42.400000000000006,AnnualIncome,220564.8542234464
2039-06-30,64,300000,605,Employed,Doctorate,40,9487,96,Married,0,Rent,436,0.1784759017417174,1,0,0.3522406011362086,0,Education,0,26,25,1002,957,27237,10918,25000.0,0.8036667285494133,3,16319,0.241987,0.224657767069769,213.6102833896068,0.0259844113355842,1,38.400000000000006,AnnualIncome,220564.8542234464
2039-10-02,44,253359,641,Employed,Master,19,15909,48,Divorced,0,Mortgage,194,0.3371571871533195,5,0,0.0969791300385368,0,Other,0,41,28,14103,334,35498,84886,21113.25,0.8596289940171142,2,10864,0.190409,0.1602239524491182,451.0480209019428,0.0305518108724115,1,36.0,AnnualIncome,220564.8542234464
2039-11-02,43,300000,525,Employed,Associate,23,41373,36,Married,0,Other,165,0.8360030512262461,2,2,0.502267093932203,0,Auto,0,23,12,2307,6206,170464,74573,25000.0,0.7282225283252893,5,95891,0.263873,0.2243754584037594,1589.4340010159538,0.0701773600406381,1,45.6,AnnualIncome,220564.8542234464
2040-05-11,60,231353,633,Employed,High School,36,51663,72,Married,0,Rent,647,0.5749724557225192,6,0,0.1043804156140965,0,Education,0,23,20,612,1038,315732,13403,19279.416666666668,0.892405239532222,7,302329,0.250163,0.2499184413781914,1391.3968403940084,0.1057291761279434,1,32.0,AnnualIncome,220564.8542234464
2040-10-03,72,260546,569,Employed,Master,53,24271,60,Single,5,Mortgage,697,0.171126994390041,2,0,0.1534192318339199,0,Debt Consolidation,0,27,2,6522,716,40399,5950,21712.166666666668,0.9469587188738084,7,34449,0.244771,0.2399151047488089,698.107704775674,0.0642546516058895,1,40.8,AnnualIncome,220564.8542234464
2040-12-13,41,300000,626,Employed,Master,17,17276,36,Married,4,Own,415,0.3920106200787486,2,2,0.4913447937940753,0,Auto,1,23,17,2721,1204,16541,464714,25000.0,0.956335550526782,9,3961,0.189276,0.1841159955952553,628.1416954427465,0.0417256678177098,1,45.6,AnnualIncome,220564.8542234464
2041-01-15,43,282303,645,Employed,Master,17,10851,48,Married,1,Own,442,0.022478275655283,0,1,0.1940538407805021,0,Home,0,30,9,2250,1109,37254,23293,23525.25,0.7394180197558439,5,13961,0.183351,0.2071221484820592,334.33140798589693,0.0329999217005514,1,36.0,AnnualIncome,220564.8542234464
2041-04-18,32,286760,608,Employed,Doctorate,7,26474,36,Divorced,0,Mortgage,1351,0.2598774336994209,4,1,0.2941970759761156,0,Auto,0,21,15,1718,761,59256,4691,23896.666666666668,0.5623832538679311,9,54565,0.207474,0.2090261013827105,996.0864256179964,0.0982181514416793,1,36.0,AnnualIncome,220564.8542234464
2041-10-03,42,286856,578,Employed,Bachelor,18,7735,48,Married,1,Mortgage,165,0.1951014732703203,3,1,0.4082087551326411,0,Other,0,21,13,1340,367,99360,31760,23904.666666666668,0.7840926568147737,7,67600,0.213735,0.1869041186623364,230.01568152125293,0.0165246262175273,1,40.8,AnnualIncome,220564.8542234464
2041-10-18,42,271909,613,Employed,Bachelor,19,26060,48,Single,1,Own,267,0.2159804213151335,4,0,0.3603820842112075,0,Education,0,14,14,2046,957,132010,12036,22659.08333333333,0.9309617117783392,5,119974,0.21456,0.2086518054704986,805.0774778900244,0.0473133648929616,1,36.0,AnnualIncome,220564.8542234464
2042-01-14,37,244860,651,Self-Employed,Doctorate,9,18321,60,Married,4,Mortgage,206,0.1816526586121275,6,1,0.2502950458874668,0,Debt Consolidation,0,35,16,15161,876,20802,79082,20405.0,0.7880716068165777,4,6735,0.197821,0.2090453510726607,494.66124834546576,0.0343377235160728,1,36.8,AnnualIncome,220564.8542234464
2043-05-21,55,232764,621,Employed,Bachelor,30,14466,60,Single,2,Other,550,0.1267419119631222,2,2,0.5762211675604314,0,Debt Consolidation,0,25,14,2020,1256,192290,308770,19397.0,0.8679543568890453,7,4698,0.208966,0.233303470298861,410.5536404159058,0.0495207320934116,1,41.6,AnnualIncome,220564.8542234464
2043-06-03,42,222923,524,Employed,Associate,22,14453,60,Married,2,Rent,307,0.2867153024426687,3,0,0.3785467034220134,0,Home,0,33,5,921,1979,185008,10545,18576.916666666668,0.7080842343217799,4,174463,0.257453,0.2124619594383295,393.0064861179935,0.037681521572094,1,40.0,AnnualIncome,220564.8542234464
2043-11-07,36,251665,596,Self-Employed,Doctorate,15,7129,96,Divorced,1,Mortgage,145,0.1848688767812301,2,0,0.0838141720460097,0,Education,0,22,5,16929,612,33525,147987,20972.08333333333,0.8731044489318798,8,7317,0.2441289999999999,0.2896242766328532,191.4595624205278,0.0160432112095298,1,41.6,AnnualIncome,220564.8542234464
2044-06-08,55,232471,632,Self-Employed,Bachelor,32,29754,60,Married,2,Rent,368,0.1216682291530794,1,1,0.1089072835548223,0,Other,0,24,5,3810,7890,48781,4257,10338.833333333334,0.8016622929623216,6,44524,0.218754,0.2202978002485982,822.2769811801818,0.1151268177757176,1,39.2,AnnualIncome,220564.8542234464
2044-08-02,27,245401,517,Employed,Master,6,27973,36,Single,0,Rent,292,0.2849904357111631,3,1,0.1915847455837037,0,Education,0,22,16,4370,1985,116867,19294,20450.08333333333,0.8307452308198118,4,97573,0.254473,0.2482471294708421,1109.609956081516,0.0685381048690844,1,36.8,AnnualIncome,220564.8542234464
2044-12-22,48,224527,528,Employed,Bachelor,26,14303,96,Single,1,Own,272,0.5100819170891274,3,0,0.2241990959096363,0,Debt Consolidation,0,32,22,4621,2572,69826,65237,18710.58333333333,0.8452484327292336,7,4589,0.285303,0.2955321087518902,389.980727286963,0.0353800154433255,1,40.8,AnnualIncome,220564.8542234464
2045-06-21,33,247516,658,Employed,Doctorate,12,23297,60,Single,1,Rent,584,0.4899421442135556,2,2,0.2990806259306934,0,Debt Consolidation,0,22,12,3026,3796,307881,35216,20626.33333333333,0.8286774076700913,3,272665,0.199297,0.190717688242974,605.2573908381124,0.0576572370677344,1,31.200000000000003,AnnualIncome,220564.8542234464
