ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore,Is_Insolvent,AgeBucket,DTI_Bucket,Log_AnnualIncome,Log_TotalAssets,CreditScore_DTI_interaction,High_MonthlyDebt_to_Income,predicted,prob_approved,correct,error_type
2027-01-17,27,166456,602,0,0,5,17725,60,1,1,3,469,0.2647813601099423,3,1,0.1194701495662914,0,1,1,21,5,14094,766,21314,60419,13871.333333333334,0.8002238357687749,4,5386,0.221725,0.2500405841841052,520.2943808860766,0.0713193430734423,0,53.0,0,26-35,0-0.2,12.02249229678997,9.96716632919931,42.93424453021227,0,1,0.9816638299398484,False,FP
2068-01-23,61,173180,585,0,0,39,35661,84,1,0,0,382,0.2521758936272593,4,1,0.3349538383964897,0,1,0,18,7,45406,1725,79731,90155,14431.666666666666,0.8060577776434048,3,3309,0.268161,0.3217931999999999,1072.4296794998477,0.1007804374292538,0,53.0,0,56-65,0-0.2,12.062092569323958,11.286426289842655,58.95655589611347,0,1,0.9815841812721524,False,FP
2026-04-11,35,149557,620,0,2,10,50895,60,1,4,0,322,0.3408256669412318,3,1,0.215550837381738,1,0,0,18,10,4687,345,194244,41168,12463.083333333334,0.6483632715649736,4,153076,0.245895,0.2596528136405714,1522.774265032634,0.1480190909177879,0,55.0,0,26-35,0-0.2,11.915439556442127,12.176875527872872,91.77183636902848,0,1,0.9811009498592896,False,FP
2023-10-25,36,150609,629,0,4,14,35551,120,0,1,0,780,0.4194571714166329,1,0,0.3029164438620568,0,4,1,29,2,1497,1669,72396,23150,12550.75,0.9369376419034356,4,49246,0.276051,0.2509281316585267,811.0876420944898,0.126772315765551,0,60.0,0,36-45,0-0.2,11.922448993205894,11.189920141051203,79.73978661653159,0,1,0.9808185169954284,False,FP
2040-07-20,50,110406,626,0,3,24,17755,84,1,1,0,290,0.3937452673300019,5,5,0.524392950723551,1,2,0,27,11,2835,1605,153241,11669,9200.5,0.8498609946685098,4,141572,0.229755,0.2425322799072318,440.965763174672,0.0794484824927636,0,62.0,0,46-55,0-0.2,11.61192881661217,11.939773650152022,49.73475004047001,0,1,0.9806051767555772,False,FP
2046-03-17,62,124566,624,0,0,35,13720,60,1,3,3,437,0.2846004217407238,4,2,0.1819831250538687,1,3,0,25,21,1039,707,115033,17110,10380.5,0.8775018870649305,5,97923,0.20672,0.248064,401.1444158609483,0.0807422008439813,0,55.0,0,56-65,0-0.2,11.732599002745156,11.652983015822809,50.383133326644334,0,1,0.978614066000624,False,FP
2018-02-18,44,105639,627,0,3,20,20409,108,3,0,3,387,0.2821744664134705,1,4,0.3270783966346243,0,3,0,22,21,3379,5476,165235,22300,8803.25,0.6232275668280846,5,142935,0.251909,0.2637402272037486,495.9515749423792,0.1002983642339339,0,46.0,0,36-45,0-0.2,11.56779236641107,12.015130034003953,62.88707437467656,0,1,0.9772848493418678,False,FP
2069-10-05,32,98269,628,0,1,9,19580,120,1,1,0,361,0.6319760874647601,2,2,0.3064847015382321,0,3,0,23,1,2433,825,220143,45141,8189.083333333333,0.9378988355842574,3,175002,0.26058,0.2645822373567851,465.7146653574483,0.1009532607871188,0,52.0,0,26-35,0-0.2,11.495474071356472,12.302037156667598,63.39864777431061,0,1,0.9772636106977464,False,FP
2019-05-25,30,125689,634,0,0,11,21937,60,1,3,3,480,0.1575107403952644,2,1,0.2465175525324719,1,1,0,22,2,11657,1393,135283,41735,10474.083333333334,0.853472094498045,10,93548,0.209937,0.2244718934408265,611.4668678828808,0.1042064334555495,0,60.0,0,26-35,0-0.2,11.741573836918883,11.815131551438109,66.06687881081838,0,1,0.9770490119242252,False,FP
2041-05-06,36,103585,559,0,1,11,11713,84,1,1,3,187,0.290504510668108,4,0,0.2855311309999725,0,3,0,27,10,1805,757,177771,149760,8632.083333333334,0.9057908345197394,6,28011,0.257213,0.280826053553232,319.9428486418556,0.0587277519303206,0,51.0,0,36-45,0-0.2,11.54815746454081,12.088257109345651,32.82881332904922,0,1,0.9769205490946048,False,FP
2018-02-12,38,57860,591,0,3,20,25576,96,1,4,3,159,0.144070320692704,3,0,0.0743870323199498,0,0,0,27,1,2059,427,463089,25653,4821.666666666667,0.841298379347302,8,437436,0.265076,0.2876549577385666,683.4043512189653,0.1747122747083923,0,47.0,0,36-45,0-0.2,10.965798861477904,13.045676698627409,103.25495435265984,0,1,0.9764272770134096,False,FP
2047-09-14,36,111803,644,2,4,12,21947,60,1,1,0,442,0.6201258917622386,5,0,0.4101379193767565,1,2,0,19,2,1822,810,134978,22962,9316.916666666666,0.8989806667488893,9,112016,0.204947,0.1884808867196155,567.4843538845885,0.1083496171535206,0,69.0,0,36-45,0-0.2,11.624502617238424,11.81287448976499,69.77715344686726,0,1,0.9757766547391604,False,FP
2068-06-16,37,168186,604,0,0,11,42809,60,2,1,3,387,0.262197357838819,3,0,0.296457442097535,0,0,1,17,1,3590,1626,29008,16559,14015.5,0.8351387174134625,3,12449,0.245809,0.2436654668194969,1240.6526317184434,0.1161323271890723,0,57.0,0,36-45,0-0.2,12.032831734592303,10.275361405649203,70.14392562219967,0,1,0.9755005538990886,False,FP
2039-12-05,36,91333,575,0,1,11,12589,96,0,1,2,350,0.2349742778746006,4,2,0.4966453528519388,0,2,0,19,3,373,7472,217601,42942,7611.083333333333,0.6687386232813619,3,174659,0.260089,0.2923996653035143,340.5123568166371,0.0907245823721945,0,54.0,0,36-45,0-0.2,11.422278395945533,12.290422985098155,52.16663486401183,0,1,0.9738004283321244,False,FP
2041-05-08,52,78646,578,0,3,31,21491,60,1,0,2,243,0.3150503899206204,4,1,0.1470074220965171,1,2,0,23,6,8934,1334,328851,32064,6553.833333333333,0.8687093179424044,9,296787,0.237491,0.2454217669434033,625.0340523812466,0.1324467694297861,0,58.0,0,46-55,0-0.2,11.272724764084428,12.703363080511217,76.55423273041636,0,1,0.9736582051362332,False,FP
2067-04-08,24,214867,561,2,1,3,48654,72,1,2,3,402,0.2018024439739023,4,1,0.194681137305113,0,2,1,30,3,5139,1912,43976,13411,17905.583333333332,0.6270805982479267,5,30565,0.283154,0.2961596155066899,1451.6905231126343,0.1035258382038731,0,60.0,0,<=25,0-0.2,12.277779165074808,10.69142204895814,58.07799523237281,0,1,0.9735601754197096,False,FP
2066-02-17,37,33102,613,0,1,16,45032,60,1,3,1,437,0.2308927571276415,2,0,0.3286470637333253,0,1,0,17,5,1331,1865,1156633,14807,2758.5,0.8272580401743743,6,1141826,0.2435319999999999,0.2560055123170055,1337.6506218401585,0.6433389964981543,0,46.0,0,36-45,0.5-0.75,10.407379191699189,13.96102462078119,394.3668048533686,0,1,0.9735515844494986,False,FP
2069-09-30,36,109774,600,0,4,13,10756,120,1,1,0,391,0.1292725234661878,2,1,0.3208461144634717,0,0,0,30,6,5447,4397,114303,59322,9147.833333333334,0.6573550500830602,4,54981,0.265756,0.3189072,298.6790934127802,0.0753926168396283,0,49.0,0,36-45,0-0.2,11.606188095429918,11.646616844796116,45.23557010377698,0,1,0.9730719042835784,False,FP
2060-08-13,43,120320,615,0,3,18,16826,48,2,0,1,140,0.2798405141971355,3,3,0.5892444846393979,1,1,1,27,23,1759,1093,74609,16317,10026.666666666666,0.8259746501985721,4,58292,0.204326,0.2210071440731152,531.0416941515504,0.0669257008794764,0,69.0,0,36-45,0-0.2,11.697918450319342,11.22002982546556,41.15930604087799,0,1,0.9718115688372844,False,FP
2042-10-19,38,94708,614,0,4,17,27693,108,0,1,3,289,0.3825052610842027,2,3,0.4474511958105388,0,1,1,22,5,6394,5383,237582,227958,7892.333333333333,0.9547956737604678,4,9624,0.2656929999999999,0.3080159418168456,760.0392055316424,0.1329187657471355,0,60.0,0,36-45,0-0.2,11.45856431161726,12.37827231508934,81.6121221687412,0,1,0.9713953017682496,False,FP
2045-04-26,29,102806,533,0,4,9,12096,120,2,2,1,116,0.027864286494144,4,0,0.09560493785444,0,4,0,23,18,680,523,207997,16828,8567.166666666666,0.9509343198530976,5,191169,0.300596,0.3587052989838113,372.4404280159832,0.0570130647646226,0,44.0,0,26-35,0-0.2,11.540608723070166,12.245283743252612,30.387963519543845,0,1,0.9705415599974538,False,FP
2071-04-19,51,149783,575,0,0,29,26330,72,1,0,3,599,0.3817129855254269,1,1,0.2617722497396768,0,2,0,34,1,11303,1348,54766,40214,12481.916666666666,0.6786611364301932,7,14552,0.25383,0.2871335865869679,770.4062167657451,0.1097112128959157,0,54.0,0,46-55,0-0.2,11.916949535281988,10.910843101765996,63.08394741515153,0,1,0.9701389927349224,False,FP
2057-06-25,41,155657,577,2,1,20,42282,60,0,2,3,448,0.093078410931575,5,1,0.1666721043050475,0,3,0,24,14,1081,3917,88783,32820,12971.416666666666,0.6482511954272743,3,55963,0.258782,0.2738793016568264,1300.91617946552,0.1348284635678847,0,48.0,0,36-45,0-0.2,11.95541657191484,11.393961732565682,77.79602347866947,0,1,0.9700847945224756,False,FP
2050-08-06,70,206311,555,0,4,48,54562,108,1,2,2,739,0.1304934130081241,2,2,0.2410463277255828,0,2,0,27,6,539,746,28534,96540,17192.583333333332,0.9773480188156648,3,2685,0.3220619999999999,0.3475698745689717,1656.1792160198877,0.139314678287821,0,51.0,0,>=66,0-0.2,12.237144865084584,10.25888668297081,77.31964644974065,0,1,0.9696475968515144,False,FP
2046-09-22,41,146848,630,0,1,19,39697,108,2,0,0,500,0.1464104390858755,4,1,0.5419732388884159,0,1,0,24,6,180,1341,41252,36080,12237.333333333334,0.7174409214109374,2,5172,0.269697,0.2913616595691565,1041.9428427353955,0.1260031741176233,0,54.0,0,36-45,0-0.2,11.89716012693385,10.627479116391054,79.38199969410267,0,1,0.9691058897113238,False,FP
2027-06-19,53,142874,604,0,3,30,25623,84,2,0,0,737,0.2658943315852624,5,1,0.3328341535516586,1,3,0,24,12,7387,996,44123,14199,11906.166666666666,0.83299597104472,5,29924,0.248623,0.2664982945227319,675.8308407743416,0.1186637882980255,0,61.0,0,46-55,0-0.2,11.869725401097112,10.694759131089272,71.6729281320074,0,1,0.9689718929989584,False,FP
2043-08-15,48,126096,568,0,3,24,36377,60,1,0,3,548,0.095256373857547,4,2,0.082643731391388,0,0,0,27,9,2012,527,200478,91841,10508.0,0.7499513628495524,2,108637,0.2573769999999999,0.2821808549718658,1137.4185842694262,0.1603938508059979,0,44.0,0,46-55,0-0.2,11.744806731027662,12.208464782088724,91.10370725780682,0,1,0.9684002995633432,False,FP
2023-10-24,39,36030,639,0,1,15,34884,96,1,0,3,399,0.053699662956085,6,3,0.4361151904974788,0,0,1,23,6,2178,900,833281,2993,3002.5,0.91371547161035,5,830288,0.250384,0.2398554673457093,819.9013335658848,0.4059621427363479,0,53.0,0,36-45,0.35-0.5,10.49213495800589,13.63312739927296,259.4098092085263,0,1,0.9683737976356944,False,FP
2071-07-31,42,50000,618,0,4,20,21933,84,2,3,2,692,0.2125811153381137,6,0,0.5591828221646322,0,1,0,18,7,1445,349,607300,21857,4166.666666666667,0.8625447832389258,4,585443,0.237933,0.2847093419147656,604.7385421187586,0.311217250108502,0,48.0,0,36-45,0.2-0.35,10.819798284210286,13.316779828516948,192.33226056705425,0,1,0.9679777762482707,False,FP
2060-09-19,65,143405,595,0,3,40,21467,120,0,1,3,166,0.3134078282355315,1,3,0.5375562356370135,0,2,0,30,24,8920,946,17669,84672,11950.416666666666,0.805839377611503,5,2101,0.2789669999999999,0.3130955080741543,586.7798765636359,0.0629919355584786,0,56.0,0,56-65,0-0.2,11.87343504727653,9.779623565313742,37.48020165729477,0,1,0.967074419011982,False,FP
2036-02-05,42,154858,632,0,3,20,36243,60,2,1,0,1189,0.0890061946938131,2,0,0.1857266856377453,0,0,1,23,16,13677,1507,28296,23215,12904.833333333334,0.9321518220777936,6,5081,0.225243,0.2702916,1107.323625610977,0.1779429122636978,0,50.0,0,36-45,0-0.2,11.950270304474431,10.250511070945045,112.459920550657,0,1,0.9664405277020992,False,FP
2049-11-30,57,96964,661,0,4,34,19741,96,1,0,3,411,0.0971802856712438,2,1,0.2491102999388502,0,0,0,18,1,1548,1382,146548,66774,8080.333333333333,0.9460228357917508,7,79774,0.224241,0.2196414999904183,438.1344376664714,0.105086560496655,0,46.0,0,56-65,0-0.2,11.48210536763034,11.895115122506068,69.46221648828896,0,1,0.9663156769935928,False,FP
2037-12-22,34,145864,541,0,0,12,10332,120,1,1,0,454,0.4420577932903195,3,1,0.2464349643430022,0,2,0,22,10,2837,1564,41381,8330,12155.333333333334,0.7983883452835878,7,33051,0.294832,0.3352805183443383,299.65356878560306,0.0620018841210116,0,51.0,0,26-35,0-0.2,11.89043681539674,10.630601282659349,33.54301930946728,0,1,0.9661853080722368,False,FP
2066-11-08,56,138848,598,0,0,32,22826,84,1,3,0,692,0.6988139882813661,3,0,0.159656958831539,1,1,0,25,19,2006,5266,65769,10503,11570.666666666666,0.719159150850934,8,55266,0.248826,0.2703084474973441,607.7281628379523,0.1123295830984632,0,60.0,0,56-65,0-0.2,11.841142290692446,11.093919086295395,67.173090692881,0,1,0.9658242698962612,False,FP
2047-01-12,25,120294,561,0,3,6,41817,72,2,3,3,168,0.2593982010009104,2,2,0.6129199521753849,0,3,0,25,25,1852,3833,326338,21754,10024.5,0.807923886978158,4,304584,0.276317,0.3108291717806499,1287.366813031964,0.1451809878828833,0,50.0,0,<=25,0-0.2,11.697702338339248,12.695691997351588,81.44653420229753,0,1,0.9656779357409044,False,FP
2031-09-07,77,94523,663,0,1,53,28850,96,1,0,0,305,0.2668144672012953,2,1,0.0195396127530205,0,1,0,26,5,7138,3648,244206,11342,7876.916666666667,0.8508940436141841,0,232864,0.23235,0.2650222609710879,726.3634428716352,0.1309349186384226,0,41.0,0,>=66,0-0.2,11.456609049491323,12.405771505276572,86.80985105727419,0,1,0.9651962510697578,False,FP
